run_name,family,total_entries,ok,failures,compile_error,wrong_output,runtime_error,timeout,generation_or_parse_error,unknown_failure
A,baseline_ft_A,164,62,102,54,9,39,0,0,0
ABC_filtered_accept_C,filtered_accept_subset,164,56,108,69,10,29,0,0,0
ABC_filtered_accept_A,filtered_accept_subset,164,55,109,79,8,22,0,0,0
AB_antineighbor,baseline_ft_AB,164,55,109,72,10,27,0,0,0
ABC_filtered_reject,filtered_reject,164,54,110,75,11,24,0,0,0
ABC_filtered_accept,filtered_accept_all,164,53,111,70,13,27,0,1,0
ABC_filtered_manual,filtered_manual,164,53,111,72,16,23,0,0,0
ABC_source_numericalhub,source_subset,164,52,112,78,10,24,0,0,0
ABC_filtered_accept_AC_shuffle,filtered_accept_subset,164,48,116,59,19,36,0,2,0
ABC_source_burkardt,source_subset,164,48,116,81,13,21,0,1,0
ABC_source_fortran_lang,source_subset,164,46,118,82,12,24,0,0,0
ABC_filtered_accept_AB_shuffle,filtered_accept_subset,164,41,123,66,36,21,0,0,0
ABC_filtered_accept_B,filtered_accept_subset,164,41,123,86,10,27,0,0,0
ABC_filtered_accept_BC_shuffle,filtered_accept_subset,164,39,125,83,13,28,0,1,0
ABC_dedup_BC,abc_dedup_bc,164,32,132,36,76,20,0,0,0
