task_id,success_count,ok_runs,dominant_failure,failure_distribution
1,0,,compile_error,"{""wrong_output"": 2, ""compile_error"": 12, ""runtime_error"": 1}"
3,0,,runtime_error,"{""runtime_error"": 10, ""wrong_output"": 3, ""compile_error"": 2}"
7,0,,runtime_error,"{""runtime_error"": 7, ""wrong_output"": 1, ""compile_error"": 7}"
10,0,,compile_error,"{""compile_error"": 8, ""runtime_error"": 7}"
14,0,,runtime_error,"{""runtime_error"": 11, ""compile_error"": 4}"
16,0,,runtime_error,"{""runtime_error"": 12, ""wrong_output"": 1, ""compile_error"": 2}"
17,0,,compile_error,"{""runtime_error"": 6, ""wrong_output"": 1, ""compile_error"": 8}"
19,0,,compile_error,"{""compile_error"": 13, ""runtime_error"": 2}"
22,0,,runtime_error,"{""runtime_error"": 8, ""compile_error"": 6, ""wrong_output"": 1}"
23,0,,runtime_error,"{""runtime_error"": 13, ""compile_error"": 2}"
27,0,,runtime_error,"{""runtime_error"": 12, ""compile_error"": 3}"
28,0,,runtime_error,"{""runtime_error"": 8, ""wrong_output"": 1, ""compile_error"": 6}"
29,0,,runtime_error,"{""runtime_error"": 10, ""wrong_output"": 2, ""compile_error"": 3}"
30,0,,runtime_error,"{""runtime_error"": 13, ""wrong_output"": 1, ""compile_error"": 1}"
33,0,,compile_error,"{""wrong_output"": 6, ""runtime_error"": 2, ""compile_error"": 7}"
37,0,,wrong_output,"{""compile_error"": 6, ""wrong_output"": 8, ""runtime_error"": 1}"
42,0,,runtime_error,"{""runtime_error"": 14, ""compile_error"": 1}"
48,0,,runtime_error,"{""runtime_error"": 11, ""compile_error"": 4}"
51,0,,compile_error,"{""wrong_output"": 4, ""compile_error"": 10, ""runtime_error"": 1}"
58,0,,compile_error,"{""runtime_error"": 3, ""wrong_output"": 2, ""compile_error"": 10}"
66,0,,runtime_error,"{""runtime_error"": 15}"
74,0,,compile_error,"{""compile_error"": 12, ""wrong_output"": 2, ""runtime_error"": 1}"
78,0,,runtime_error,"{""runtime_error"": 14, ""wrong_output"": 1}"
81,0,,compile_error,"{""wrong_output"": 4, ""compile_error"": 11}"
82,0,,runtime_error,"{""runtime_error"": 9, ""compile_error"": 5, ""wrong_output"": 1}"
84,0,,compile_error,"{""compile_error"": 15}"
86,0,,compile_error,"{""compile_error"": 11, ""wrong_output"": 3, ""runtime_error"": 1}"
87,0,,compile_error,"{""runtime_error"": 2, ""wrong_output"": 1, ""compile_error"": 12}"
92,0,,wrong_output,"{""wrong_output"": 14, ""compile_error"": 1}"
95,0,,compile_error,"{""compile_error"": 13, ""generation_or_parse_error"": 2}"
98,0,,compile_error,"{""compile_error"": 8, ""runtime_error"": 7}"
101,0,,compile_error,"{""compile_error"": 8, ""runtime_error"": 5, ""wrong_output"": 1, ""generation_or_parse_error"": 1}"
103,0,,wrong_output,"{""wrong_output"": 11, ""compile_error"": 4}"
105,0,,compile_error,"{""compile_error"": 12, ""runtime_error"": 2, ""wrong_output"": 1}"
108,0,,compile_error,"{""runtime_error"": 1, ""wrong_output"": 1, ""compile_error"": 13}"
111,0,,compile_error,"{""compile_error"": 11, ""runtime_error"": 2, ""wrong_output"": 2}"
112,0,,compile_error,"{""compile_error"": 8, ""wrong_output"": 7}"
113,0,,compile_error,"{""wrong_output"": 4, ""compile_error"": 11}"
114,0,,runtime_error,"{""runtime_error"": 12, ""compile_error"": 3}"
115,0,,compile_error,"{""compile_error"": 13, ""runtime_error"": 2}"
116,0,,compile_error,"{""compile_error"": 12, ""wrong_output"": 2, ""runtime_error"": 1}"
119,0,,compile_error,"{""compile_error"": 11, ""wrong_output"": 1, ""runtime_error"": 3}"
125,0,,compile_error,"{""compile_error"": 14, ""wrong_output"": 1}"
126,0,,runtime_error,"{""runtime_error"": 11, ""compile_error"": 3, ""wrong_output"": 1}"
129,0,,compile_error,"{""runtime_error"": 3, ""compile_error"": 12}"
130,0,,compile_error,"{""compile_error"": 13, ""wrong_output"": 2}"
132,0,,compile_error,"{""compile_error"": 12, ""wrong_output"": 3}"
134,0,,compile_error,"{""compile_error"": 14, ""runtime_error"": 1}"
135,0,,compile_error,"{""compile_error"": 6, ""wrong_output"": 3, ""runtime_error"": 6}"
136,0,,runtime_error,"{""runtime_error"": 11, ""wrong_output"": 2, ""compile_error"": 2}"
140,0,,compile_error,"{""compile_error"": 13, ""wrong_output"": 2}"
141,0,,compile_error,"{""compile_error"": 9, ""wrong_output"": 6}"
142,0,,compile_error,"{""compile_error"": 13, ""wrong_output"": 1, ""runtime_error"": 1}"
143,0,,compile_error,"{""compile_error"": 13, ""runtime_error"": 2}"
145,0,,compile_error,"{""compile_error"": 14, ""wrong_output"": 1}"
146,0,,runtime_error,"{""runtime_error"": 10, ""wrong_output"": 1, ""compile_error"": 4}"
148,0,,compile_error,"{""compile_error"": 15}"
149,0,,compile_error,"{""runtime_error"": 5, ""wrong_output"": 2, ""compile_error"": 8}"
156,0,,compile_error,"{""compile_error"": 14, ""wrong_output"": 1}"
158,0,,runtime_error,"{""runtime_error"": 7, ""wrong_output"": 1, ""compile_error"": 7}"
160,0,,compile_error,"{""compile_error"": 13, ""runtime_error"": 2}"
161,0,,wrong_output,"{""compile_error"": 6, ""wrong_output"": 9}"
162,0,,compile_error,"{""compile_error"": 14, ""wrong_output"": 1}"
163,0,,runtime_error,"{""runtime_error"": 8, ""wrong_output"": 1, ""compile_error"": 6}"
5,1,ABC_filtered_accept_BC_shuffle,runtime_error,"{""runtime_error"": 12, ""wrong_output"": 2}"
