run_name,family,ref_run,ref_ok,run_ok,delta_vs_ref,both_ok,run_only_unique_wins,ref_only_losses,both_fail
A,baseline_ft_A,A,62,62,0,62,0,0,102
ABC_filtered_accept_C,filtered_accept_subset,A,62,56,-6,42,14,20,88
ABC_filtered_accept_A,filtered_accept_subset,A,62,55,-7,37,18,25,84
AB_antineighbor,baseline_ft_AB,A,62,55,-7,42,13,20,89
ABC_filtered_reject,filtered_reject,A,62,54,-8,40,14,22,88
ABC_filtered_accept,filtered_accept_all,A,62,53,-9,38,15,24,87
ABC_filtered_manual,filtered_manual,A,62,53,-9,39,14,23,88
ABC_source_numericalhub,source_subset,A,62,52,-10,36,16,26,86
ABC_filtered_accept_AC_shuffle,filtered_accept_subset,A,62,48,-14,32,16,30,86
ABC_source_burkardt,source_subset,A,62,48,-14,35,13,27,89
ABC_source_fortran_lang,source_subset,A,62,46,-16,34,12,28,90
ABC_filtered_accept_AB_shuffle,filtered_accept_subset,A,62,41,-21,26,15,36,87
ABC_filtered_accept_B,filtered_accept_subset,A,62,41,-21,33,8,29,94
ABC_filtered_accept_BC_shuffle,filtered_accept_subset,A,62,39,-23,26,13,36,89
ABC_dedup_BC,abc_dedup_bc,A,62,32,-30,22,10,40,92
