run_name,family,file,benchmark_size,counter.compile_err,counter.exception,counter.ids.__len__,counter.ineq,counter.ok,counter.runtime_err,evaluated_at,execution_time_limit,metrics.compilation_rate,metrics.compile_err,metrics.exception,metrics.execution_success_rate,metrics.failed,metrics.ineq,metrics.ok,metrics.output_correctness_rate,metrics.pass_at_1,metrics.runtime_err,metrics.total,model_key,solution_file
ABC_dedup_BC,abc_dedup_bc,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_summary.json,164,36,0,132,76,32,20,2026-06-29T09:56:50.737577,10,0.7804878048780488,36,0,0.6585365853658537,132,76,32,0.1951219512195122,0.1951219512195122,20,164,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12,qwen27/epoch1/learning_rate_1/tmp_complete_solutions_all/ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_solutions.json
ABC_filtered_accept_AB_shuffle,filtered_accept_subset,ft_ABC_filtered_accept_AB_shuffle_qwen27_humaneval_mistral_conc12_evaluation_summary.json,164,66,0,123,36,41,21,2026-06-29T16:31:41.799324,10,0.5975609756097561,66,0,0.4695121951219512,123,36,41,0.25,0.25,21,164,ft_ABC_filtered_accept_AB_shuffle_qwen27_humaneval_mistral_conc12,qwen27/epoch1/learning_rate_1/tmp_complete_solutions_all/ft_ABC_filtered_accept_AB_shuffle_qwen27_humaneval_mistral_conc12_solutions.json
ABC_filtered_accept_AC_shuffle,filtered_accept_subset,ft_ABC_filtered_accept_AC_shuffle_qwen27_humaneval_mistral_conc12_evaluation_summary.json,164,59,2,116,19,48,36,2026-06-30T10:50:55.368537,10,0.6402439024390244,59,2,0.40853658536585363,116,19,48,0.2926829268292683,0.2926829268292683,36,164,ft_ABC_filtered_accept_AC_shuffle_qwen27_humaneval_mistral_conc12,qwen27/epoch1/learning_rate_1/tmp_complete_solutions_all/ft_ABC_filtered_accept_AC_shuffle_qwen27_humaneval_mistral_conc12_solutions.json
ABC_filtered_accept_A,filtered_accept_subset,ft_ABC_filtered_accept_A_qwen27_humaneval_mistral_conc12_evaluation_summary.json,164,79,0,109,8,55,22,2026-06-29T16:31:49.169196,10,0.5182926829268293,79,0,0.38414634146341464,109,8,55,0.3353658536585366,0.3353658536585366,22,164,ft_ABC_filtered_accept_A_qwen27_humaneval_mistral_conc12,qwen27/epoch1/learning_rate_1/tmp_complete_solutions_all/ft_ABC_filtered_accept_A_qwen27_humaneval_mistral_conc12_solutions.json
ABC_filtered_accept_BC_shuffle,filtered_accept_subset,ft_ABC_filtered_accept_BC_shuffle_qwen27_humaneval_mistral_conc12_evaluation_summary.json,164,83,1,125,13,39,28,2026-06-30T10:51:01.958276,10,0.49390243902439024,83,1,0.3170731707317073,125,13,39,0.23780487804878048,0.23780487804878048,28,164,ft_ABC_filtered_accept_BC_shuffle_qwen27_humaneval_mistral_conc12,qwen27/epoch1/learning_rate_1/tmp_complete_solutions_all/ft_ABC_filtered_accept_BC_shuffle_qwen27_humaneval_mistral_conc12_solutions.json
ABC_filtered_accept_B,filtered_accept_subset,ft_ABC_filtered_accept_B_qwen27_humaneval_mistral_conc12_evaluation_summary.json,164,86,0,123,10,41,27,2026-06-30T10:51:08.777348,10,0.47560975609756095,86,0,0.31097560975609756,123,10,41,0.25,0.25,27,164,ft_ABC_filtered_accept_B_qwen27_humaneval_mistral_conc12,qwen27/epoch1/learning_rate_1/tmp_complete_solutions_all/ft_ABC_filtered_accept_B_qwen27_humaneval_mistral_conc12_solutions.json
ABC_filtered_accept_C,filtered_accept_subset,ft_ABC_filtered_accept_C_qwen27_humaneval_mistral_conc12_evaluation_summary.json,164,69,0,108,10,56,29,2026-06-30T10:51:16.312373,10,0.5792682926829268,69,0,0.4024390243902439,108,10,56,0.34146341463414637,0.34146341463414637,29,164,ft_ABC_filtered_accept_C_qwen27_humaneval_mistral_conc12,qwen27/epoch1/learning_rate_1/tmp_complete_solutions_all/ft_ABC_filtered_accept_C_qwen27_humaneval_mistral_conc12_solutions.json
ABC_filtered_accept,filtered_accept_all,ft_ABC_filtered_accept_qwen27_humaneval_mistral_conc12_evaluation_summary.json,164,70,1,111,13,53,27,2026-06-29T16:31:56.889191,10,0.573170731707317,70,1,0.4024390243902439,111,13,53,0.3231707317073171,0.3231707317073171,27,164,ft_ABC_filtered_accept_qwen27_humaneval_mistral_conc12,qwen27/epoch1/learning_rate_1/tmp_complete_solutions_all/ft_ABC_filtered_accept_qwen27_humaneval_mistral_conc12_solutions.json
ABC_filtered_manual,filtered_manual,ft_ABC_filtered_manual_qwen27_humaneval_mistral_conc12_evaluation_summary.json,164,72,0,111,16,53,23,2026-06-30T10:51:23.266968,10,0.5609756097560976,72,0,0.42073170731707316,111,16,53,0.3231707317073171,0.3231707317073171,23,164,ft_ABC_filtered_manual_qwen27_humaneval_mistral_conc12,qwen27/epoch1/learning_rate_1/tmp_complete_solutions_all/ft_ABC_filtered_manual_qwen27_humaneval_mistral_conc12_solutions.json
ABC_filtered_reject,filtered_reject,ft_ABC_filtered_reject_qwen27_humaneval_mistral_conc12_evaluation_summary.json,164,75,0,110,11,54,24,2026-06-30T10:51:30.538569,10,0.5426829268292683,75,0,0.39634146341463417,110,11,54,0.32926829268292684,0.32926829268292684,24,164,ft_ABC_filtered_reject_qwen27_humaneval_mistral_conc12,qwen27/epoch1/learning_rate_1/tmp_complete_solutions_all/ft_ABC_filtered_reject_qwen27_humaneval_mistral_conc12_solutions.json
ABC_source_burkardt,source_subset,ft_ABC_source_burkardt_qwen27_humaneval_mistral_conc12_evaluation_summary.json,164,81,1,116,13,48,21,2026-06-30T10:51:37.725008,10,0.5060975609756098,81,1,0.3719512195121951,116,13,48,0.2926829268292683,0.2926829268292683,21,164,ft_ABC_source_burkardt_qwen27_humaneval_mistral_conc12,qwen27/epoch1/learning_rate_1/tmp_complete_solutions_all/ft_ABC_source_burkardt_qwen27_humaneval_mistral_conc12_solutions.json
