task_id,A,ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor
0,OK,compile_error,OK,compile_error,compile_error,OK,OK,OK,OK,compile_error,OK,OK,OK,OK,OK
1,wrong_output,compile_error,runtime_error,compile_error,wrong_output,compile_error,compile_error,compile_error,compile_error,compile_error,compile_error,compile_error,compile_error,compile_error,compile_error
2,OK,OK,OK,compile_error,compile_error,compile_error,compile_error,compile_error,OK,OK,OK,compile_error,compile_error,compile_error,compile_error
3,runtime_error,wrong_output,runtime_error,compile_error,wrong_output,runtime_error,compile_error,runtime_error,runtime_error,wrong_output,runtime_error,runtime_error,runtime_error,runtime_error,runtime_error
4,OK,wrong_output,compile_error,OK,wrong_output,runtime_error,OK,compile_error,OK,OK,OK,OK,compile_error,OK,OK
5,runtime_error,wrong_output,runtime_error,runtime_error,wrong_output,runtime_error,runtime_error,OK,runtime_error,runtime_error,runtime_error,runtime_error,runtime_error,runtime_error,runtime_error
6,compile_error,wrong_output,OK,compile_error,wrong_output,OK,compile_error,compile_error,compile_error,compile_error,OK,compile_error,OK,OK,OK
7,runtime_error,wrong_output,runtime_error,runtime_error,compile_error,runtime_error,compile_error,runtime_error,runtime_error,compile_error,compile_error,compile_error,compile_error,compile_error,runtime_error
8,OK,wrong_output,OK,runtime_error,wrong_output,compile_error,compile_error,runtime_error,OK,OK,runtime_error,OK,compile_error,compile_error,OK
9,runtime_error,wrong_output,runtime_error,OK,wrong_output,runtime_error,runtime_error,runtime_error,runtime_error,compile_error,runtime_error,runtime_error,OK,compile_error,runtime_error
10,compile_error,compile_error,compile_error,compile_error,compile_error,compile_error,runtime_error,runtime_error,runtime_error,runtime_error,compile_error,runtime_error,compile_error,runtime_error,runtime_error
11,OK,wrong_output,generation_or_parse_error,compile_error,compile_error,OK,compile_error,OK,OK,OK,OK,OK,compile_error,OK,OK
12,runtime_error,compile_error,OK,OK,compile_error,compile_error,compile_error,OK,OK,runtime_error,runtime_error,compile_error,runtime_error,compile_error,runtime_error
13,compile_error,compile_error,OK,compile_error,compile_error,compile_error,compile_error,compile_error,compile_error,compile_error,OK,compile_error,OK,wrong_output,compile_error
14,runtime_error,runtime_error,runtime_error,compile_error,runtime_error,compile_error,runtime_error,runtime_error,runtime_error,runtime_error,runtime_error,compile_error,runtime_error,compile_error,runtime_error
15,OK,OK,compile_error,compile_error,compile_error,wrong_output,compile_error,compile_error,wrong_output,compile_error,compile_error,compile_error,compile_error,compile_error,compile_error
