model_key,details_file,summary_file,common_tasks,base_ok,ft_ok,delta_ok,base_fail_ft_ok,base_ok_ft_fail,base_ok_ft_ok,base_fail_ft_fail,compile_err,runtime_err,ineq,exception,compilation_rate,execution_success_rate,pass_at_1
ft_ABC_source_fortran_lang_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_source_fortran_lang_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results/ft_ABC_source_fortran_lang_humaneval_mistral_conc20_evaluation_summary.json,164,36,41,5,11,6,30,117,40,58,20,5,0.7560975609756098,0.3719512195121951,0.25
ft_ABC_source_numerical_methods_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_source_numerical_methods_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results/ft_ABC_source_numerical_methods_humaneval_mistral_conc20_evaluation_summary.json,164,36,38,2,10,8,28,118,47,51,26,2,0.7134146341463414,0.3902439024390244,0.23170731707317074
ft_ABC_source_burkardt_humaneval_mistral_conc20,epoch2/learning_rate_2/results/ft_ABC_source_burkardt_humaneval_mistral_conc20_evaluation_details.json,epoch2/learning_rate_2/results/ft_ABC_source_burkardt_humaneval_mistral_conc20_evaluation_summary.json,164,36,38,2,16,14,22,112,79,22,22,3,0.5182926829268293,0.36585365853658536,0.23170731707317074
ft_ABC_source_fortran_lang_humaneval_mistral_conc20,epoch2/learning_rate_2/results/ft_ABC_source_fortran_lang_humaneval_mistral_conc20_evaluation_details.json,epoch2/learning_rate_2/results/ft_ABC_source_fortran_lang_humaneval_mistral_conc20_evaluation_summary.json,164,36,38,2,10,8,28,118,40,56,27,3,0.7560975609756098,0.39634146341463417,0.23170731707317074
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_2/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_2/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_summary.json,164,36,36,0,13,13,23,115,73,28,26,1,0.5548780487804879,0.3780487804878049,0.21951219512195122
ft_ABC_source_fortran_lang_humaneval_mistral_conc20,epoch1/learning_rate_2/results/ft_ABC_source_fortran_lang_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_2/results/ft_ABC_source_fortran_lang_humaneval_mistral_conc20_evaluation_summary.json,164,36,34,-2,5,7,29,123,45,58,24,3,0.725609756097561,0.35365853658536583,0.2073170731707317
ft_ABC_source_numerical_methods_humaneval_mistral_conc20,epoch1/learning_rate_2/results/ft_ABC_source_numerical_methods_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_2/results/ft_ABC_source_numerical_methods_humaneval_mistral_conc20_evaluation_summary.json,164,36,34,-2,7,9,27,121,43,53,31,3,0.7378048780487805,0.39634146341463417,0.2073170731707317
ft_ABC_source_numerical_methods_humaneval_mistral_conc20,epoch2/learning_rate_2/results/ft_ABC_source_numerical_methods_humaneval_mistral_conc20_evaluation_details.json,epoch2/learning_rate_2/results/ft_ABC_source_numerical_methods_humaneval_mistral_conc20_evaluation_summary.json,164,36,34,-2,7,9,27,121,44,53,28,5,0.7317073170731707,0.3780487804878049,0.2073170731707317
ft_A_half2_humaneval_mistral_conc20,epoch1/learning_rate_2/results/ft_A_half2_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_2/results/ft_A_half2_humaneval_mistral_conc20_evaluation_summary.json,164,36,33,-3,13,16,20,115,64,39,27,1,0.6097560975609756,0.36585365853658536,0.20121951219512196
ft_B_humaneval_mistral_conc20,epoch1/learning_rate_2/results/ft_B_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_2/results/ft_B_humaneval_mistral_conc20_evaluation_summary.json,164,36,33,-3,11,14,22,117,52,46,31,2,0.6829268292682927,0.3902439024390244,0.20121951219512196
ft_AB_shuffle_humaneval_mistral_conc3,epoch1/learning_rate_1/results/ft_AB_shuffle_humaneval_mistral_conc3_evaluation_details.json,epoch1/learning_rate_1/results/ft_AB_shuffle_humaneval_mistral_conc3_evaluation_summary.json,164,36,32,-4,11,15,21,117,73,20,38,1,0.5548780487804879,0.4268292682926829,0.1951219512195122
ft_A_ep2_humaneval_mistral_conc20,epoch2/learning_rate_1/results/ft_A_ep2_humaneval_mistral_conc20_evaluation_details.json,epoch2/learning_rate_1/results/ft_A_ep2_humaneval_mistral_conc20_evaluation_summary.json,164,36,32,-4,11,15,21,117,65,22,43,2,0.6036585365853658,0.4573170731707317,0.1951219512195122
ft_A_half1_humaneval_mistral_conc20,epoch2/learning_rate_1/results/ft_A_half1_humaneval_mistral_conc20_evaluation_details.json,epoch2/learning_rate_1/results/ft_A_half1_humaneval_mistral_conc20_evaluation_summary.json,164,36,32,-4,10,14,22,118,74,21,36,1,0.5487804878048781,0.4146341463414634,0.1951219512195122
ft_ABC_source_stack_v2_humaneval_mistral_conc20,epoch2/learning_rate_2/results/ft_ABC_source_stack_v2_humaneval_mistral_conc20_evaluation_details.json,epoch2/learning_rate_2/results/ft_ABC_source_stack_v2_humaneval_mistral_conc20_evaluation_summary.json,164,36,32,-4,13,17,19,115,73,28,30,1,0.5548780487804879,0.3780487804878049,0.1951219512195122
ft_AB_shuffle_humaneval_mistral_conc20,epoch2/learning_rate_2/results/ft_AB_shuffle_humaneval_mistral_conc20_evaluation_details.json,epoch2/learning_rate_2/results/ft_AB_shuffle_humaneval_mistral_conc20_evaluation_summary.json,164,36,32,-4,12,16,20,116,85,14,32,1,0.4817073170731707,0.3902439024390244,0.1951219512195122
ft_ABC_source_burkardt_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_source_burkardt_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results/ft_ABC_source_burkardt_humaneval_mistral_conc20_evaluation_summary.json,164,36,31,-5,12,17,19,116,77,31,23,2,0.5304878048780488,0.32926829268292684,0.18902439024390244
ft_ABC_source_stack_v1_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_source_stack_v1_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results/ft_ABC_source_stack_v1_humaneval_mistral_conc20_evaluation_summary.json,164,36,31,-5,11,16,20,117,66,37,29,1,0.5975609756097561,0.36585365853658536,0.18902439024390244
ft_A_half1_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_A_half1_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results/ft_A_half1_humaneval_mistral_conc20_evaluation_summary.json,164,36,31,-5,14,19,17,114,75,24,34,0,0.5426829268292683,0.39634146341463417,0.18902439024390244
ft_ABC_dedup_BC_humaneval_mistral_conc20,epoch1/learning_rate_2/results/ft_ABC_dedup_BC_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_2/results/ft_ABC_dedup_BC_humaneval_mistral_conc20_evaluation_summary.json,164,36,31,-5,12,17,19,116,76,28,28,1,0.5365853658536586,0.3597560975609756,0.18902439024390244
ft_AC_shuffle_humaneval_mistral_conc3,epoch1/learning_rate_1/results/ft_AC_shuffle_humaneval_mistral_conc3_evaluation_details.json,epoch1/learning_rate_1/results/ft_AC_shuffle_humaneval_mistral_conc3_evaluation_summary.json,164,36,30,-6,12,18,18,116,80,15,37,2,0.5121951219512195,0.40853658536585363,0.18292682926829268
ft_B_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_B_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results/ft_B_humaneval_mistral_conc20_evaluation_summary.json,164,36,30,-6,10,16,20,118,66,41,26,1,0.5975609756097561,0.34146341463414637,0.18292682926829268
ft_ABC_source_stack_v1_humaneval_mistral_conc20,epoch1/learning_rate_2/results/ft_ABC_source_stack_v1_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_2/results/ft_ABC_source_stack_v1_humaneval_mistral_conc20_evaluation_summary.json,164,36,30,-6,9,15,21,119,57,51,24,2,0.6524390243902439,0.32926829268292684,0.18292682926829268
ft_AC_antineighbor_humaneval_mistral_conc20,epoch1/learning_rate_2/results/ft_AC_antineighbor_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_2/results/ft_AC_antineighbor_humaneval_mistral_conc20_evaluation_summary.json,164,36,30,-6,11,17,19,117,73,29,30,2,0.5548780487804879,0.36585365853658536,0.18292682926829268
ft_AB_shuffle_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_AB_shuffle_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results/ft_AB_shuffle_humaneval_mistral_conc20_evaluation_summary.json,164,36,29,-7,12,19,17,116,78,20,36,1,0.524390243902439,0.39634146341463417,0.17682926829268292
ft_C_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_C_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_1/results/ft_C_humaneval_mistral_conc20_evaluation_summary.json,164,36,29,-7,14,21,15,114,74,38,22,1,0.5487804878048781,0.31097560975609756,0.17682926829268292
ft_ABC_source_numericalhub_humaneval_mistral_conc20,epoch1/learning_rate_2/results/ft_ABC_source_numericalhub_humaneval_mistral_conc20_evaluation_details.json,epoch1/learning_rate_2/results/ft_ABC_source_numericalhub_humaneval_mistral_conc20_evaluation_summary.json,164,36,29,-7,12,19,17,116,78,31,24,2,0.524390243902439,0.3231707317073171,0.17682926829268292
