config,dataset_type,epochs,lr,pass@1_%,pass@10_%,pass^10_%,score,pass_rate_std_%,always_failing,flaky,total_tasks
00_DSTypeANew/00_1epochs/00_lr2e-5,0.0,1.0,2e-05,49.57,68.9,15.24,6.838,3.18,51,88,164
00_DSTypeANew/00_1epochs/01_lr2e-4,0.0,1.0,0.0002,44.63,62.8,12.8,6.425,1.95,61,82,164
00_DSTypeANew/01_2epochs/00_lr2e-5,0.0,2.0,2e-05,49.82,68.9,17.68,7.035,2.86,51,84,164
00_DSTypeANew/01_2epochs/01_lr2e-4,0.0,2.0,0.0002,41.46,63.41,6.71,5.998,3.3,60,93,164
00_DSTypeANew/01_2epochs/02_lr3e-4,0.0,2.0,0.0003,40.73,61.59,5.49,5.763,1.84,63,92,164
00_DSTypeANew/01_2epochs/03_lr5e-4,0.0,2.0,0.0005,33.96,58.54,5.49,4.61,2.77,68,87,164
00_DSTypeANew/02_3epochs/02_lr3e-4,0.0,3.0,0.0003,38.41,60.98,6.1,5.585,3.78,64,90,164
00_DSTypeANew/02_3epochs/03_lr5e-4,0.0,3.0,0.0005,16.65,48.17,0.0,2.385,2.57,85,79,164
01_DSBenchmarkBased/00_1epochs/00_lr2e-5,1.0,1.0,2e-05,48.41,69.51,13.41,6.821,2.25,50,92,164
01_DSBenchmarkBased/00_1epochs/01_lr2e-4,1.0,1.0,0.0002,48.84,70.12,13.41,6.723,2.29,49,93,164
01_DSBenchmarkBased/01_2epochs/00_lr2e-5,1.0,2.0,2e-05,48.66,69.51,17.07,6.845,2.17,50,86,164
01_DSBenchmarkBased/01_2epochs/01_lr2e-4,1.0,2.0,0.0002,49.21,70.73,14.02,6.819,2.8,48,93,164
01_DSBenchmarkBased/01_2epochs/02_lr3e-4,1.0,2.0,0.0003,49.39,70.73,15.85,6.884,3.49,48,90,164
01_DSBenchmarkBased/01_2epochs/03_lr5e-4,1.0,2.0,0.0005,34.57,67.07,3.66,5.465,3.9,54,104,164
01_DSBenchmarkBased/02_3epochs,1.0,3.0,,25.12,54.88,1.83,4.082,4.41,74,87,164
02_DSBoth/00_1epochs/00_lr2e-5,2.0,1.0,2e-05,49.15,67.68,16.46,6.864,2.1,53,84,164
02_DSBoth/00_1epochs/01_lr2e-4,2.0,1.0,0.0002,45.79,68.9,9.76,6.493,1.76,51,97,164
02_DSBoth/01_2epochs/00_lr2e-5,2.0,2.0,2e-05,48.72,67.07,16.46,6.777,2.14,54,83,164
02_DSBoth/01_2epochs/01_lr2e-4,2.0,2.0,0.0002,48.66,67.68,15.85,6.966,2.26,53,85,164
02_DSBoth/01_2epochs/02_lr3e-4,2.0,2.0,0.0003,40.06,63.41,9.15,6.603,2.8,60,89,164
02_DSBoth/01_2epochs/03_lr5e-4,2.0,2.0,0.0005,22.62,59.76,0.0,3.92,2.87,66,98,164
02_DSBoth/02_3epochs/00_lr2e-5,2.0,3.0,2e-05,49.94,70.73,17.07,6.906,1.66,48,88,164
02_DSBoth/02_3epochs/02_lr3e-4,2.0,3.0,0.0003,41.4,64.63,9.15,6.518,1.05,58,91,164
02_DSBoth/02_3epochs/03_lr5e-4,2.0,3.0,0.0005,0.18,1.83,0.0,-1.239,0.29,161,3,164
