config,dataset_type,lora_rank,pass@1_%,pass@10_%,pass^10_%,score,pass_rate_std_%,always_failing,flaky,total_tasks
00_DSTypeANew/00_LoraR16,0.0,16.0,49.15,67.68,,6.922,2.17,53,83,164
00_DSTypeANew/01_LoraR32,0.0,32.0,47.99,68.9,,6.801,2.46,51,92,164
00_DSTypeANew/02_LoraR64,0.0,64.0,46.52,65.85,,6.642,1.77,56,86,164
00_DSTypeANew/03_LoraR128,0.0,128.0,44.94,66.46,,6.49,2.8,55,90,164
01_DSBenchmarkBased/00_LoraR16,1.0,16.0,47.2,70.73,,6.65,2.43,48,102,164
01_DSBenchmarkBased/01_LoraR32,1.0,32.0,33.78,68.29,,4.205,23.71,52,112,164
01_DSBenchmarkBased/02_LoraR64,1.0,64.0,37.87,70.73,,6.268,2.69,48,107,164
01_DSBenchmarkBased/03_LoraR128,1.0,128.0,33.48,61.59,,6.248,2.29,63,95,164
02_DSBoth/00_LoraR16,2.0,16.0,48.48,70.12,,6.838,2.67,49,92,164
02_DSBoth/01_LoraR32,2.0,32.0,42.93,68.29,,6.584,1.87,52,96,164
02_DSBoth/02_LoraR64,2.0,64.0,31.34,59.15,,5.415,3.04,67,92,164
